"node","stress_observations","normal_observations","retained_stress_weight","weighted_stress_value","weighted_normal_value","weighted_difference","measure","scenario","threshold_pct"
"GCPD",437,8310,1,0.0747727635538793,0.156659422501382,-0.0818866589475026,"net_export_intensity","upper",0.05
"PNM",438,8321,1,0.0140791858826289,0.073351186904447,-0.059272001021818,"net_export_intensity","upper",0.05
"PSCO",438,8311,1,0.0141122838861036,0.0255914589535573,-0.0114791750674537,"net_export_intensity","upper",0.05
"SCL",438,8156,1,0,0,0,"net_export_intensity","upper",0.05
"TPWR",438,8257,1,0,0,0,"net_export_intensity","upper",0.05
"TVA",396,7591,1,0,0,0,"net_export_intensity","upper",0.05
"NW",386,6885,0.997716894977169,0.0154712269543484,0.0139418541714742,0.00152937278287416,"gross_import_ratio","lower",0.05
"NW",386,6885,0.997716894977169,-0.00978895706647303,-0.0163447861789316,0.00655582911245857,"raw_net_import_ratio","lower",0.05
"NW",386,6885,0.997716894977169,0.000721614615689522,5.6130913173477e-05,0.000665483702516045,"net_import_dependence","lower",0.05
"NW",386,6885,0.997716894977169,0.0105105716821625,0.0164009170921051,-0.00589034540994253,"net_export_intensity","lower",0.05
"NW",386,6885,0.997716894977169,0.016541017693037,0.0155032839932557,0.00103773369978134,"gross_import_ratio","mid",0.05
"NW",386,6885,0.997716894977169,-0.00905700787732978,-0.0151186236578457,0.00606161578051596,"raw_net_import_ratio","mid",0.05
"NW",386,6885,0.997716894977169,0.000935711389994125,0.000412050478150451,0.000523660911843674,"net_import_dependence","mid",0.05
"NW",386,6885,0.997716894977169,0.00999271926732391,0.0155306741359962,-0.00553795486867229,"net_export_intensity","mid",0.05
"NW",386,6885,0.997716894977169,0.0176108084317256,0.0170647138150371,0.000546094616688531,"gross_import_ratio","upper",0.05
"NW",386,6885,0.997716894977169,-0.00832505868818654,-0.0138924611367599,0.00556740244857336,"raw_net_import_ratio","upper",0.05
"NW",386,6885,0.997716894977169,0.00128173527657107,0.000804655072536376,0.000477080204034696,"net_import_dependence","upper",0.05
"NW",386,6885,0.997716894977169,0.00960679396475761,0.0146971162092963,-0.00509032224453867,"net_export_intensity","upper",0.05
"AECI",825,7755,1,0.212941114558455,0.152016282740897,0.0609248318175574,"gross_import_ratio","lower",0.1
"GCPD",872,7875,1,0.24999859920709,0.158426197992336,0.0915724012147541,"gross_import_ratio","lower",0.1
"PNM",876,7883,1,0.233132475758194,0.230090168702507,0.00304230705568717,"gross_import_ratio","lower",0.1
"PSCO",875,7874,1,0.0376229348735096,0.0248394059742373,0.0127835288992722,"gross_import_ratio","lower",0.1
"SCL",876,7718,1,0.558099176780423,0.46011957635536,0.0979796004250626,"gross_import_ratio","lower",0.1
"TPWR",872,7823,1,0.699901087665395,0.609464243647469,0.0904368440179254,"gross_import_ratio","lower",0.1
"TVA",777,7210,1,0.120967568033374,0.0885661970185854,0.032401371014789,"gross_import_ratio","lower",0.1
"AECI",825,7755,1,0.020868350950784,-0.101314769926393,0.122183120877177,"raw_net_import_ratio","lower",0.1
"GCPD",872,7875,1,-0.0455743382950502,-0.230063260821257,0.184488922526207,"raw_net_import_ratio","lower",0.1
"PNM",876,7883,1,-0.00617557603636357,-0.0550327270998197,0.0488571510634561,"raw_net_import_ratio","lower",0.1
"PSCO",875,7874,1,-0.00267888039066428,-0.0281832649539336,0.0255043845632693,"raw_net_import_ratio","lower",0.1
"SCL",876,7718,1,0.556737458340712,0.454663621788565,0.102073836552147,"raw_net_import_ratio","lower",0.1
"TPWR",872,7823,1,0.609768718839275,0.531691094532,0.0780776243072748,"raw_net_import_ratio","lower",0.1
"TVA",777,7210,1,0.0884473256576313,0.0281632840828378,0.0602840415747935,"raw_net_import_ratio","lower",0.1
"AECI",825,7755,1,0.0309287811428176,0.000304867251062689,0.0306239138917549,"net_import_dependence","lower",0.1
"GCPD",872,7875,1,0.0824271850048523,0.0127915014589349,0.0696356835459174,"net_import_dependence","lower",0.1
"PNM",876,7883,1,0.0312245970802356,0.0211536277396711,0.0100709693405646,"net_import_dependence","lower",0.1
"PSCO",875,7874,1,0.0155854886595475,0.00264631364716456,0.012939175012383,"net_import_dependence","lower",0.1
"SCL",876,7718,1,0.556737458340712,0.454663621788565,0.102073836552147,"net_import_dependence","lower",0.1
"TPWR",872,7823,1,0.609768718839275,0.531691094532,0.0780776243072748,"net_import_dependence","lower",0.1
"TVA",777,7210,1,0.0884473256576313,0.0281632840828378,0.0602840415747935,"net_import_dependence","lower",0.1
"AECI",825,7755,1,0.0100604301920336,0.101619637177456,-0.0915592069854221,"net_export_intensity","lower",0.1
"GCPD",872,7875,1,0.128001523299902,0.242854762280192,-0.11485323898029,"net_export_intensity","lower",0.1
"PNM",876,7883,1,0.0374001731165992,0.0761863548394908,-0.0387861817228916,"net_export_intensity","lower",0.1
"PSCO",875,7874,1,0.0182643690502118,0.0308295786010982,-0.0125652095508864,"net_export_intensity","lower",0.1
"SCL",876,7718,1,0,0,0,"net_export_intensity","lower",0.1
"TPWR",872,7823,1,0,0,0,"net_export_intensity","lower",0.1
"TVA",777,7210,1,0,0,0,"net_export_intensity","lower",0.1
"AECI",825,7755,1,0.224448459194763,0.152643738276257,0.0718047209185055,"gross_import_ratio","mid",0.1
"GCPD",872,7875,1,0.250362139689457,0.15862492500968,0.0917372146797778,"gross_import_ratio","mid",0.1
"PNM",876,7883,1,0.233135165048045,0.230167914580895,0.00296725046714949,"gross_import_ratio","mid",0.1
"PSCO",875,7874,1,0.0376245323551327,0.0248429631474158,0.0127815692077168,"gross_import_ratio","mid",0.1
"SCL",876,7718,1,0.571169284151218,0.467228962840986,0.103940321310232,"gross_import_ratio","mid",0.1
"TPWR",872,7823,1,0.708274951209441,0.614310693170458,0.0939642580389836,"gross_import_ratio","mid",0.1
"TVA",777,7210,1,0.124098768242828,0.090819225499436,0.033279542743392,"gross_import_ratio","mid",0.1
"AECI",825,7755,1,0.0305337397720313,-0.103689990361252,0.134223730133284,"raw_net_import_ratio","mid",0.1
"GCPD",872,7875,1,-0.0457783135421197,-0.230420207540632,0.184641893998512,"raw_net_import_ratio","mid",0.1
"PNM",876,7883,1,-0.00617405839730084,-0.0549577918923429,0.0487837334950421,"raw_net_import_ratio","mid",0.1
"PSCO",875,7874,1,-0.00267758864185787,-0.0281810215300303,0.0255034328881724,"raw_net_import_ratio","mid",0.1
"SCL",876,7718,1,0.569807565711507,0.461773003670117,0.10803456204139,"raw_net_import_ratio","mid",0.1
"TPWR",872,7823,1,0.618142582383321,0.536536926655812,0.0816056557275091,"raw_net_import_ratio","mid",0.1
"TVA",777,7210,1,0.0884772179222227,0.0250476683146765,0.0634295496075462,"raw_net_import_ratio","mid",0.1
"AECI",825,7755,1,0.0363015151200077,0.00026275923941503,0.0360387558805927,"net_import_dependence","mid",0.1
"GCPD",872,7875,1,0.0824509230431192,0.0127448555286716,0.0697060675144476,"net_import_dependence","mid",0.1
"PNM",876,7883,1,0.0312258216382813,0.0211548676843988,0.0100709539538825,"net_import_dependence","mid",0.1
"PSCO",875,7874,1,0.0155867804083539,0.00264924026044748,0.0129375401479065,"net_import_dependence","mid",0.1
"SCL",876,7718,1,0.569807565711507,0.461773003670117,0.10803456204139,"net_import_dependence","mid",0.1
"TPWR",872,7823,1,0.618142582383321,0.536536926655812,0.0816056557275091,"net_import_dependence","mid",0.1
"TVA",777,7210,1,0.0884772179222227,0.0250476683146765,0.0634295496075462,"net_import_dependence","mid",0.1
"AECI",825,7755,1,0.00576777534797636,0.103952749600667,-0.098184974252691,"net_export_intensity","mid",0.1
"GCPD",872,7875,1,0.128229236585239,0.243165063069303,-0.114935826484064,"net_export_intensity","mid",0.1
"PNM",876,7883,1,0.0373998800355822,0.0761126595767418,-0.0387127795411596,"net_export_intensity","mid",0.1
"PSCO",875,7874,1,0.0182643690502118,0.0308302617904778,-0.0125658927402659,"net_export_intensity","mid",0.1
"SCL",876,7718,1,0,0,0,"net_export_intensity","mid",0.1
"TPWR",872,7823,1,0,0,0,"net_export_intensity","mid",0.1
"TVA",777,7210,1,0,0,0,"net_export_intensity","mid",0.1
"AECI",825,7755,1,0.235955803831071,0.153271193811618,0.0826846100194533,"gross_import_ratio","upper",0.1
"GCPD",872,7875,1,0.250725680171825,0.158823652027023,0.0919020281448017,"gross_import_ratio","upper",0.1
"PNM",876,7883,1,0.233137854337895,0.230245660459284,0.00289219387861187,"gross_import_ratio","upper",0.1
"PSCO",875,7874,1,0.0376261298367558,0.0248465203205943,0.0127796095161615,"gross_import_ratio","upper",0.1
"SCL",876,7718,1,0.584239391522015,0.474338349326612,0.109901042195403,"gross_import_ratio","upper",0.1
